name,address,city,state,notes
River Driver Cannabis Co.,132 Church Rd.,Brunswick,ME,
Greenport Cannabis Co.,280 Main St.,Damariscotta,ME,
Maine Beer Company,525 Rt. 1,Freeport,ME,Matches for sale $5
Green Tree Coffee & Tea of Maine,2456 Atlantic Hwy,Lincolnville Beach,ME,
Indian Trail Farms,241 Dublin St.,Machias,ME,Cannabis
The Salt Market,141 Main St.,Northeast Harbor,ME,Seasonal — Tue-Sun 8am-3pm
Arcadia,504 Congress St.,Portland,ME,21+ barcade
Benny's,545 Congress St.,Portland,ME,
Blanche & Mimi,195 Commercial St.,Portland,ME,Matches for sale $3
Fire on Fore,367 Fore St.,Portland,ME,Cannabis
Five of Clubs,754 Congress St.,Portland,ME,In Longfellow Hotel
Gill's Neighborhood Bar,133 Spring St.,Portland,ME,
J's Oyster,5 Portland Pier,Portland,ME,
Jar Co.,9 Exchange St.,Portland,ME,Cannabis
Lucky Cheetah,11 Moulton St.,Portland,ME,
Meowy Jane,3 Market St.,Portland,ME,Cannabis
Old Port Wine & Cigar Merchants,223 Commercial St.,Portland,ME,
Sea Weed Co.,23 Marginal Way,Portland,ME,Cannabis
Silver Therapeutics,370 Fore St.,Portland,ME,Cannabis
Smalls,28 Brackett St.,Portland,ME,
Sweet Dirt,305 Main St.,Rockland,ME,Cannabis
Bitter End,2118 Post Rd.,Wells,ME,
MOGO,632 Cookman Ave.,Asbury Park,NJ,Running very low
Angeloni's,2400 Arctic Ave.,Atlantic City,NJ,
Caesars,2100 Pacific Ave.,Atlantic City,NJ,
Knife and Fork Inn,3600 Atlantic Ave.,Atlantic City,NJ,
Isabel's Bakery & Cafe,2285 Dune Dr.,Avalon,NJ,
Senor Juans,905 Main St.,Belmar,NJ,Cigars
Galaxy Smoke Shop,238 Rt. 206,Branchville,NJ,
12 oz. Studios Tattoos,300 Crescent Blvd.,Brooklawn,NJ,
Cloverleaf Tavern,395 Bloomfield Ave.,Caldwell,NJ,
GroundHouse,307 Bloomfield Ave.,Caldwell,NJ,
Nurse Wellness,900 Marlton Pike,Cherry Hill,NJ,
Zacate,4037 Rt. 130,Delran,NJ,Cannabis
12 oz. Studios Tattoos,1135 Hurfville Rd.,Deptford,NJ,
Cortez Cigars,152 Main St.,Eatontown,NJ,
Erik Thoren Chimney Cleaning,152 Broad St.,Flemington,NJ,
My Fair Trade Lady,531 Station Ave.,Haddon Heights,NJ,
The Brass Rail,135 Washington St.,Hoboken,NJ,
LOLA,102 Sinatra Dr.,Hoboken,NJ,
Onieals,343 Park Ave.,Hoboken,NJ,
Sirenetta,1039 Washington St.,Hoboken,NJ,
Washington General Store,509 Washington St.,Hoboken,NJ,Matches for sale
Sola Bella,426 Chandler Rd.,Jackson,NJ,
Cellar 335,335 Newark Ave.,Jersey City,NJ,
Charley's Ocean Grill,29 Avenel Blvd.,Long Branch,NJ,
Ventura's Greenhouse,106 S. Benson Ave.,Margate,NJ,
Quality Roots,850 Rt. 70,Marlton,NJ,Cannabis
Femmina Grill,408 Stokes Rd.,Medford,NJ,
